District,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP,Rank,County,Per capita income,Median household income,Median family income,Households,Population
Ashland,140000,MATH,754,58,216,17,538,41,422,32,132,10,1308,99,505,60,1046,82,Middlesex,59092,115959,146923,7587,18646
Scituate,2640000,MATH,777,61,129,10,648,51,416,33,74,6,1267,99,505,48,998,36,Plymouth,70543,72904,96979,7549,19016
Gloucester,1070000,MATH,425,34,51,4,374,30,609,48,229,18,1263,99,491,47,975,85,Essex,57613,140192,149911,13168,29814
Wayland,3150000,MATH,957,76,313,25,644,51,267,21,38,3,1262,99,515,58,1026,14,Middlesex,86947,203789,234051,4779,13859
Holliston,1360000,MATH,775,62,179,14,596,47,386,31,99,8,1260,99,506,58,995,42,Middlesex,66563,142348,166912,5485,14891
Hanover,1220000,MATH,720,58,122,10,598,48,442,36,81,7,1243,99,504,54,990,58,Plymouth,59268,149048,165064,4744,14742
Hampden-Wilbraham,6800000,MATH,538,43,69,6,469,38,562,45,141,11,1241,99,497,50,980,,,,,,,
Randolph,2440000,MATH,368,30,52,4,316,25,548,44,325,26,1241,99,488,52,884,268,Norfolk,39488,87869,98813,12150,34661
Longmeadow,1590000,MATH,798,65,172,14,626,51,349,28,81,7,1228,99,507,59,993,30,Hampden,74126,148010,173250,5662,15863
Duxbury,820000,MATH,732,60,120,10,612,50,429,35,55,5,1216,100,504,52,979,26,Plymouth,75630,117035,173500,6873,16004
Dighton-Rehoboth,6500000,MATH,517,43,42,3,475,39,580,48,119,10,1216,99,496,52,966,,,,,,,
Auburn,170000,MATH,569,47,86,7,483,40,512,43,119,10,1200,100,499,53,965,150,Worcester,62772,101402,126886,16027,6595
Saugus,2620000,MATH,370,31,39,3,331,28,609,51,210,18,1189,99,490,44,896,217,Essex,43997,93737,106145,10581,28521
Bedford,230000,MATH,794,67,245,21,549,47,312,27,71,6,1177,99,511,51,952,51,Middlesex,52025,109841,136099,10094,15793
Medfield,1750000,MATH,828,71,163,14,665,57,298,25,44,4,1170,99,510,50,937,11,Norfolk,88348,196820,229076,4373,12775
Marblehead,1680000,MATH,688,59,104,9,584,50,381,33,95,8,1164,99,503,59,908,23,Essex,81072,154049,193086,8075,20397
East Longmeadow,870000,MATH,494,43,56,5,438,38,527,46,133,12,1154,99,496,48,924,188,Hampden,45658,95248,122917,6011,16386
Brooke Charter School (District),4280000,MATH,684,61,136,12,548,49,377,33,67,6,1128,100,505,60,882,,,,,,,
Pembroke,2310000,MATH,651,58,108,10,543,48,408,36,63,6,1122,99,504,55,926,104,Plymouth,53499,130015,152776,6861,18329
Hudson,1410000,MATH,338,30,24,2,314,28,564,51,214,19,1116,99,489,46,860,149,Middlesex,48829,94191,129472,8035,20032
Somerset,2730000,MATH,534,48,46,4,488,44,456,41,122,11,1112,100,498,59,901,166,Bristol,47396,96967,105638,7248,18271
