District,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Berkshire Arts and Technology Charter Public (District),4140000,MATH,62,31,9,5,53,27,99,50,38,19,199,98,489,49,143
Brewster,410000,MATH,98,49,13,7,85,43,76,38,24,12,198,98,498,50,122
Hill View Montessori Charter Public (District),4550000,MATH,24,12,3,2,21,11,117,59,56,28,197,98,481,59,156
Deerfield,740000,MATH,85,43,12,6,73,37,89,45,22,11,196,98,496,51,132
Bridge Boston Charter School (District),4170000,MATH,53,28,6,3,47,25,114,60,23,12,190,100,490,53,150
River Valley Charter (District),4820000,MATH,89,47,8,4,81,43,81,43,20,11,190,100,497,55,145
Ralph C Mahar,7550000,MATH,61,32,4,2,57,30,88,47,39,21,188,97,488,59,168
Baystate Academy Charter Public School (District),35020000,MATH,13,8,0,0,13,8,86,50,72,42,171,95,473,39,159
Hampden Charter School of Science West (District),35160000,MATH,65,38,12,7,53,31,71,42,35,20,171,98,493,58,150
Benjamin Banneker Charter Public (District),4200000,MATH,133,78,43,25,90,53,35,20,3,2,171,100,515,54,127
"Martin Luther King, Jr. Charter School of Excellence (District)",4920000,MATH,18,11,0,0,18,11,98,57,55,32,171,100,478,43,106
Hatfield,1270000,MATH,55,32,3,2,52,31,83,49,32,19,170,100,491,51,132
Brimfield,430000,MATH,103,66,16,10,87,56,49,32,3,2,155,100,507,69,109
Brookfield,450000,MATH,71,46,10,6,61,40,76,49,7,5,154,100,500,52,111
Hilltown Cooperative Charter Public (District),4500000,MATH,83,54,6,4,77,50,61,40,9,6,153,97,500,53,122
Boston Green Academy Horace Mann Charter School (District),4110000,MATH,16,11,1,1,15,10,73,49,60,40,149,97,476,43,146
Tisbury,2960000,MATH,80,54,10,7,70,47,52,35,16,11,148,100,500,50,96
Pioneer Charter School of Science II (District),35060000,MATH,113,77,31,21,82,56,29,20,4,3,146,100,515,71,130
Sizer School: A North Central Charter Essential (District),4740000,MATH,31,21,1,1,30,21,72,50,42,29,145,98,484,41,121
Pioneer Valley Performing Arts Charter Public (District),4790000,MATH,21,15,2,1,19,14,88,63,30,22,139,99,483,27,109
Francis W. Parker Charter Essential (District),4780000,MATH,66,49,3,2,63,47,57,43,11,8,134,94,497,37,98
Plympton,2400000,MATH,73,57,6,5,67,53,45,35,9,7,127,99,501,45,78
Clarksburg,630000,MATH,44,36,2,2,42,35,68,56,9,7,121,100,495,49,100
Codman Academy Charter Public (District),4380000,MATH,17,14,0,0,17,14,63,53,39,33,119,99,479,54,95
Dudley Street Neighborhood Charter School (District),4070000,MATH,20,17,1,1,19,16,70,60,27,23,117,97,483,49,76
Holland,1350000,MATH,58,53,7,6,51,46,39,35,13,12,110,100,499,61,89
Community Charter School of Cambridge (District),4360000,MATH,30,30,7,7,23,23,61,60,10,10,101,100,494,53,92
