District,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Attleboro,160000,MATH,1023,39,117,4,906,35,1156,44,438,17,2617,99,494,50,2040
Bridgewater-Raynham,6250000,MATH,1143,44,154,6,989,38,1157,44,308,12,2608,99,497,50,2072
Andover,90000,MATH,1672,65,460,18,1212,47,757,29,162,6,2591,99,509,55,2070
Chelsea,570000,MATH,443,17,40,2,403,16,1178,45,969,37,2590,99,479,44,1900
Cambridge,490000,MATH,1363,53,349,14,1014,40,848,33,344,13,2555,97,502,57,1874
Needham,1990000,MATH,1750,69,452,18,1298,51,666,26,136,5,2552,99,510,57,2007
Natick,1980000,MATH,1626,66,355,14,1271,51,689,28,161,7,2476,99,507,53,1982
Braintree,400000,MATH,1363,56,257,10,1106,45,858,35,232,9,2453,99,503,54,1933
Fitchburg,970000,MATH,596,25,52,2,544,22,1092,45,741,31,2429,99,484,51,1797
Waltham,3080000,MATH,879,36,133,5,746,31,1083,45,459,19,2421,99,492,54,1828
Acton-Boxborough,6000000,MATH,1621,69,517,22,1104,47,589,25,149,6,2359,99,511,58,1881
Weymouth,3360000,MATH,876,38,124,5,752,32,1043,45,414,18,2333,99,493,45,1805
Chelmsford,560000,MATH,1190,51,253,11,937,40,902,39,233,10,2325,99,502,52,1834
Billerica,310000,MATH,944,41,117,5,827,36,1095,48,246,11,2285,100,496,46,1795
Westford,3260000,MATH,1561,71,444,20,1117,51,527,24,104,5,2192,99,512,57,1755
Marlborough,1700000,MATH,520,24,70,3,450,21,973,45,647,30,2140,99,484,45,1496
Holyoke,1370000,MATH,130,6,3,0,127,6,768,36,1210,57,2108,99,469,41,1534
Beverly,300000,MATH,942,45,141,7,801,38,838,40,315,15,2095,99,496,47,1630
Belmont,260000,MATH,1593,76,610,29,983,47,408,19,94,4,2095,99,516,56,1587
Milton,1890000,MATH,1279,62,241,12,1038,50,650,31,150,7,2079,100,506,53,1634
Pittsfield,2360000,MATH,504,24,71,3,433,21,919,44,655,32,2078,99,484,44,1570
Westfield,3250000,MATH,647,31,49,2,598,29,985,48,437,21,2069,99,489,46,1609
Franklin,1010000,MATH,1178,57,241,12,937,45,712,34,178,9,2068,99,504,52,1661
Winchester,3440000,MATH,1448,70,397,19,1051,51,522,25,94,5,2064,100,511,56,1604
North Andover,2110000,MATH,1207,59,228,11,979,48,659,32,191,9,2057,99,503,52,1625
Somerville,2740000,MATH,671,33,135,7,536,27,749,37,599,30,2019,99,488,50,1465
Barnstable,200000,MATH,581,29,68,3,513,25,963,48,474,23,2018,98,488,46,1440
Hopkinton,1390000,MATH,1511,78,533,28,978,51,347,18,75,4,1933,100,516,59,1533
Woburn,3470000,MATH,688,36,84,4,604,32,863,45,357,19,1908,99,492,45,1441
Milford,1850000,MATH,483,25,33,2,450,24,948,50,471,25,1902,100,486,46,1397
